id,name,tier,effect,power,prompt,negative
antidote,Противоядие,3,curePoison,3,"Concept ""Противоядие"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: cleansing green shimmer neutralizing toxins, liquid appearance: ruby-red translucent liquid, vessel: faceted crystal vial, soft pulse every few seconds, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
greater_heal,Большое зелье лечения,3,healHP,20,"Concept ""Большое зелье лечения"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: wounds knitting shut, restorative warmth, liquid appearance: ruby-red translucent liquid, vessel: faceted crystal vial, soft pulse every few seconds, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
elixir_vigor,Эликсир бодрости,3,restoreEnergy,25,"Concept ""Эликсир бодрости"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: lightning stamina surge, brisk vitality, liquid appearance: ruby-red translucent liquid, vessel: faceted crystal vial, soft pulse every few seconds, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
elixir_endurance,Эликсир выносливости,3,restoreEnergyMax,12,"Concept ""Эликсир выносливости"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: expanded lung-heart endurance reservoir, liquid appearance: ruby-red translucent liquid, vessel: faceted crystal vial, soft pulse every few seconds, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
superior_antidote,Сильное противоядие,4,curePoison,4,"Concept ""Сильное противоядие"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: cleansing green shimmer neutralizing toxins, liquid appearance: deep sapphire swirl with metallic flakes, vessel: steel-capped alchemical bottle, steady faint aura, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
adept_heal,Зелье адепта (лечение),4,healHP,28,"Concept ""Зелье адепта (лечение)"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: wounds knitting shut, restorative warmth, liquid appearance: deep sapphire swirl with metallic flakes, vessel: steel-capped alchemical bottle, steady faint aura, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
adept_energy,Зелье адепта (бодрость),4,restoreEnergy,32,"Concept ""Зелье адепта (бодрость)"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: lightning stamina surge, brisk vitality, liquid appearance: deep sapphire swirl with metallic flakes, vessel: steel-capped alchemical bottle, steady faint aura, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
adept_endurance,Тоник адепта (выносливость),4,restoreEnergyMax,18,"Concept ""Тоник адепта (выносливость)"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: expanded lung-heart endurance reservoir, liquid appearance: deep sapphire swirl with metallic flakes, vessel: steel-capped alchemical bottle, steady faint aura, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
adept_mana,Зелье адепта (мана),4,restoreMana,11,"Concept ""Зелье адепта (мана)"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: arcane reservoir refill, whispering sparks, liquid appearance: deep sapphire swirl with metallic flakes, vessel: steel-capped alchemical bottle, steady faint aura, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
elixir_life,Эликсир жизни,5,healAll,50,"Concept ""Эликсир жизни"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: total bodily renewal, cathedral purity, liquid appearance: pearlescent gradient liquid, vessel: ornate flask with seal wax, warm halo, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
saint_draught,Напиток святого,5,healHP,34,"Concept ""Напиток святого"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: wounds knitting shut, restorative warmth, liquid appearance: pearlescent gradient liquid, vessel: ornate flask with seal wax, warm halo, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
grand_elixir,Великий эликсир,5,restoreEnergyMax,30,"Concept ""Великий эликсир"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: expanded lung-heart endurance reservoir, liquid appearance: pearlescent gradient liquid, vessel: ornate flask with seal wax, warm halo, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
wyrmsblood_elixir,Эликсир змеиной крови,6,healHP,42,"Concept ""Эликсир змеиной крови"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: wounds knitting shut, restorative warmth, liquid appearance: silver-threaded emerald liquor, vessel: mithril-trimmed phial, cold magical steam wisps, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
stormbrew_energy,Штормовое зелье бодрости,6,restoreEnergy,48,"Concept ""Штормовое зелье бодрости"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: lightning stamina surge, brisk vitality, liquid appearance: silver-threaded emerald liquor, vessel: mithril-trimmed phial, cold magical steam wisps, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
sixth_circle_mana,Зелье шестого круга,6,restoreMana,17,"Concept ""Зелье шестого круга"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: arcane reservoir refill, whispering sparks, liquid appearance: silver-threaded emerald liquor, vessel: mithril-trimmed phial, cold magical steam wisps, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
astral_philter_heal,Фильтр звёзд (лечение),7,healHP,52,"Concept ""Фильтр звёзд (лечение)"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: wounds knitting shut, restorative warmth, liquid appearance: star-speckled violet plasma, vessel: void-glass ampoule, orbiting dust motes of light, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
lunar_infusion_mana,Лунный настой маны,7,restoreMana,22,"Concept ""Лунный настой маны"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: arcane reservoir refill, whispering sparks, liquid appearance: star-speckled violet plasma, vessel: void-glass ampoule, orbiting dust motes of light, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
philosophers,Философский эликсир,8,healAll,100,"Concept ""Философский эликсир"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: total bodily renewal, cathedral purity, liquid appearance: radiant golden ichor, vessel: filigree celestial flask, sunbeam god-rays through liquid, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
eclipse_draught_energy,Зелье затмения (бодрость),8,restoreEnergy,62,"Concept ""Зелье затмения (бодрость)"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: lightning stamina surge, brisk vitality, liquid appearance: radiant golden ichor, vessel: filigree celestial flask, sunbeam god-rays through liquid, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
solar_balm_heal,Солнечный бальзам,9,healHP,78,"Concept ""Солнечный бальзам"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: wounds knitting shut, restorative warmth, liquid appearance: molten sunrise-orange core fluid, vessel: orichalcum-stoppered relic bottle, voluntary sparks along rim, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
solar_balm_mana,Солнечный эликсир маны,9,restoreMana,34,"Concept ""Солнечный эликсир маны"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: arcane reservoir refill, whispering sparks, liquid appearance: molten sunrise-orange core fluid, vessel: orichalcum-stoppered relic bottle, voluntary sparks along rim, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
genesis_vitalis,Флакон генезиса,10,healAll,160,"Concept ""Флакон генезиса"", a single fantasy consumable potion bottle / sealed alchemical flask, concept: total bodily renewal, cathedral purity, liquid appearance: prismatic abyss-black mirror fluid, vessel: adamant seal amphora-miniature, reality ripple distortion around vessel, single isolated fantasy potion bottle or small flask, centered, transparent or plain dark background, vertical orientation, icon clarity, no human hands, sharp focus, painterly RPG inventory sprite, 1024x1024 composition suitable for square inventory slot --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered shelf of bottles, laboratory clutter, multiple unrelated potions, human face, nsfw"
