sequence,batchId,catalog,id,name,tier,gridW,gridH,aspect,resolution,targetFile,finalFile,replacementReasons,promptSource,prompt,negative
11,tools-01,tools,field_butcher_roll,Скрутка полевого мясника,2,1,2,1:2,768x1536,art-candidates/items/tools/field_butcher_roll.webp,icons/items/tools/field_butcher_roll.webp,"untracked-development-placeholder,deterministic-baseline-category",fallback,"Concept ""Скрутка полевого мясника"", a single fantasy crafting or survival tool, iron, bronze, seasoned leather and utilitarian workshop finish, vertical item orientation, single isolated fantasy RPG inventory icon, centered, full object visible, plain dark or transparent background, sharp painterly detail, Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x2 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered background, multiple unrelated objects, human hands, human face, nsfw"
12,tools-01,tools,master_tools,Инструменты мастера,2,1,2,1:2,768x1536,art-candidates/items/tools/master_tools.webp,icons/items/tools/master_tools.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Инструменты мастера"", emphasis handheld toolkit readable silhouette compact bench fold hinges, vise clamps rulers drawers pegboard folded bench legs sawdust, reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x2 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
13,tools-01,tools,pickaxe_steel,Стальная кирка,2,1,2,1:2,768x1536,art-candidates/items/tools/pickaxe_steel.webp,icons/items/tools/pickaxe_steel.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Стальная кирка"", emphasis handheld toolkit readable silhouette compact bench fold hinges, pickaxe drill brace crank cables reinforcement plate, reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x2 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
14,tools-01,tools,steel_hammer,Стальной молот,2,1,2,1:2,768x1536,art-candidates/items/tools/steel_hammer.webp,icons/items/tools/steel_hammer.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Стальной молот"", emphasis handheld toolkit readable silhouette compact bench fold hinges, forge tongs hammer anvil sparks soot, reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x2 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
15,tools-01,tools,bronze_brazier_set,Бронзовый жаровенный набор,3,1,2,1:2,768x1536,art-candidates/items/tools/bronze_brazier_set.webp,icons/items/tools/bronze_brazier_set.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Бронзовый жаровенный набор"", emphasis handheld toolkit readable silhouette compact bench fold hinges, iron grate kettle pans stacked crates skewers steam, guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Жаровня на треноге и котлы для полевых отрядов — база перед сборкой большой кухни на салазках.. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x2 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
16,tools-01,tools,dwarven_hammer,Гномий молот,3,1,2,1:2,768x1536,art-candidates/items/tools/dwarven_hammer.webp,icons/items/tools/dwarven_hammer.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Гномий молот"", emphasis handheld toolkit readable silhouette compact bench fold hinges, forge tongs hammer anvil sparks soot, guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x2 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
17,tools-01,tools,fold_sawhorse_pair,Пара складных козёл,3,1,2,1:2,768x1536,art-candidates/items/tools/fold_sawhorse_pair.webp,icons/items/tools/fold_sawhorse_pair.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Пара складных козёл"", emphasis handheld toolkit readable silhouette compact bench fold hinges, vise clamps rulers drawers pegboard folded bench legs sawdust, guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Для распила и сборки заготовок в полевых условиях.. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x2 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
18,tools-01,tools,grand_alch_kit,Большая алхим. лаб.,3,1,2,1:2,768x1536,art-candidates/items/tools/grand_alch_kit.webp,icons/items/tools/grand_alch_kit.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Большая алхим. лаб."", emphasis handheld toolkit readable silhouette compact bench fold hinges, glass retorts clamps burner coils bottles racks, guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x2 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
19,tools-01,tools,travel_anvil_kit,Дорожная наковальня в ящике,3,1,2,1:2,768x1536,art-candidates/items/tools/travel_anvil_kit.webp,icons/items/tools/travel_anvil_kit.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Дорожная наковальня в ящике"", emphasis bulky wagon planks reinforced hinges straps draft-animal towing cues, forge tongs hammer anvil sparks soot, guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Складная наковальня и малый горн в деревянном коробе. Тянет упряжка или два крепких грузчика.. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x2 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
20,tools-01,tools,deep_drill_brace,Шахтёрский бурильный станок,4,1,2,1:2,768x1536,art-candidates/items/tools/deep_drill_brace.webp,icons/items/tools/deep_drill_brace.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Шахтёрский бурильный станок"", emphasis bulky wagon planks reinforced hinges straps draft-animal towing cues, pickaxe drill brace crank cables reinforcement plate, merchant caravan rugged prestige, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Ручная дрель на станине для узких штолен.. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x2 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
21,tools-01,tools,field_kitchen_cart,Полевая кухня на салазках,4,1,2,1:2,768x1536,art-candidates/items/tools/field_kitchen_cart.webp,icons/items/tools/field_kitchen_cart.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Полевая кухня на салазках"", emphasis massive ox-cart wheels timber beams ropes sweat gloss metal enormous portable forge silhouette, iron grate kettle pans stacked crates skewers steam, merchant caravan rugged prestige, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Плита, жаровня и ящик для продуктов. Нужна лошадь или несколько грузоносцев.. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x2 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
22,tools-01,tools,folding_alchemy_bench,Складной алхимический стол,4,1,2,1:2,768x1536,art-candidates/items/tools/folding_alchemy_bench.webp,icons/items/tools/folding_alchemy_bench.webp,"untracked-development-placeholder,deterministic-baseline-category",docs/content/gear-prompts.json,"Concept ""Складной алхимический стол"", emphasis bulky wagon planks reinforced hinges straps draft-animal towing cues, glass retorts clamps burner coils bottles racks, merchant caravan rugged prestige, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, inventory composition, sharp focus, painterly detailed illustration. Стойки, зажимы и подставки под колбы складываются в один ящик.. Use case: stylized-concept. Asset type: final-quality fantasy RPG Tarkov-grid inventory replacement candidate. Setting: Iron Hills dark fantasy frontier, grounded medieval craft, worn practical materials, restrained magic. Style/medium: premium painterly concept-art item render, detailed material texture, realistic edge wear, soft rim light, deep neutral background. Composition/framing: single isolated object, full silhouette visible, centered, no crop, readable at small inventory cell size, preserve 1x2 grid footprint, 1:2, 768x1536. Quality bar: closer to hand-picked ChatGPT item art such as the good bronze sword reference, not procedural placeholder art, not flat symbol art. Constraints: no text, no watermark, no logo, no hands, no character wearing or holding the item, no extra unrelated props.","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
