type,catalogId,name,tierHint,pools,prompt,negative
material,bristle_keg_rings,Кольца из щетины кабана,2,brute_carve_t2,"Concept ""Кольца из щетины кабана"", fantasy harvest material — bristle rings bundled hog trophy craft rings, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, wetland predator trail dressing damp moss atmosphere, tier 2 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,drake_scale,Чешуя дрейка,10,apex_slice_t4;beast_lord_t7;beast_lord_t8;brute_prize_t5;primordial_harvest_t10,"Concept ""Чешуя дрейка"", fantasy harvest material — folded uncured hide fur edge scale plates subtle salt cure beginning, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, primordial kaiju apex colossus reagent avalanche atmosphere, tier 10 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,fang_shard,Осколок клыка,9,beast_lord_t9;brute_carve_t2;vermin_bundle_t1,"Concept ""Осколок клыка"", fantasy harvest material — splintered enamel ivory shard trophy tip, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, beast-lord pinnacle trophy hoard dense scales atmosphere, tier 9 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,herb_healing,Целебный лист,3,alpine_harvest_t3,"Concept ""Целебный лист"", fantasy harvest material — dried gland herb bundle resin flecks twine wrap, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, alpine pack-beast alpha musk trophy read atmosphere, tier 3 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,monster_gland,Железа монстра,10,beast_lord_t7;beast_lord_t9;pack_leader_t3;primordial_harvest_t10,"Concept ""Железа монстра"", fantasy harvest material — dried gland herb bundle resin flecks twine wrap, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, primordial kaiju apex colossus reagent avalanche atmosphere, tier 10 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,mushroom_bog,Болотный гриб,2,wetland_glean_t2,"Concept ""Болотный гриб"", fantasy harvest material — dried gland herb bundle resin flecks twine wrap, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, wetland predator trail dressing damp moss atmosphere, tier 2 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,predator_resin_mass,Смоляная пробка хищника,10,apex_slice_t4;beast_lord_t8;primordial_harvest_t10,"Concept ""Смоляная пробка хищника"", fantasy harvest material — dark amber resin plug predator gum cluster, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, primordial kaiju apex colossus reagent avalanche atmosphere, tier 10 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,scale_hide,Чешуйчатая шкура,3,pack_leader_t3,"Concept ""Чешуйчатая шкура"", fantasy harvest material — folded uncured hide fur edge scale plates subtle salt cure beginning, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, alpine pack-beast alpha musk trophy read atmosphere, tier 3 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,serpent_sac_mild,Слабая змеиная желчь,2,wetland_glean_t2,"Concept ""Слабая змеиная желчь"", fantasy harvest material — visceral sac bulb stoppered wax cord alchemical, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, wetland predator trail dressing damp moss atmosphere, tier 2 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,small_pelt_uncured,Небольшая шкура (сырая),1,predator_scrap_t1,"Concept ""Небольшая шкура (сырая)"", fantasy harvest material — folded uncured hide fur edge scale plates subtle salt cure beginning, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, vermin scrap ash-bog grit humble hunt yield atmosphere, tier 1 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,thick_hide,Толстая шкура,2,brute_carve_t2,"Concept ""Толстая шкура"", fantasy harvest material — folded uncured hide fur edge scale plates subtle salt cure beginning, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, wetland predator trail dressing damp moss atmosphere, tier 2 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,venom_sac,Мешок с ядом,8,beast_lord_t7;beast_lord_t8;kaiju_shard_t6,"Concept ""Мешок с ядом"", fantasy harvest material — visceral sac bulb stoppered wax cord alchemical, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, beast-lord apex resin reservoirs armored slabs atmosphere, tier 8 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,warg_pelt,Шкура варга,9,beast_lord_t9;kaiju_shard_t6,"Concept ""Шкура варга"", fantasy harvest material — folded uncured hide fur edge scale plates subtle salt cure beginning, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, beast-lord pinnacle trophy hoard dense scales atmosphere, tier 9 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,wisp_moth_powder,Пыльца ночных мотыльков,1,vermin_bundle_t1,"Concept ""Пыльца ночных мотыльков"", fantasy harvest material — dried gland herb bundle resin flecks twine wrap, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, vermin scrap ash-bog grit humble hunt yield atmosphere, tier 1 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,wyvern_hide,Шкура виверны,10,beast_lord_t7;beast_lord_t8;beast_lord_t9;kaiju_shard_t6;primordial_harvest_t10,"Concept ""Шкура виверны"", fantasy harvest material — folded uncured hide fur edge scale plates subtle salt cure beginning, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, primordial kaiju apex colossus reagent avalanche atmosphere, tier 10 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
material,wyvern_sinew_filament,Жилье виверны,4,apex_slice_t4,"Concept ""Жилье виверны"", fantasy harvest material — fibrous tendon coil stripped sinew filament spool cue, single isolated fantasy RPG harvest trophy reagent icon, centered, transparent or plain dark background, square 1024 composition, sharp focus, painterly detail, wyvern drake trophy scales sinew resin elite quarry atmosphere, tier 4 drop read --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered wide shot, multiple objects collage, human face full portrait, nsfw"
