id,name,tier,slot,gridW,gridH,aspect,resolution,prompt,negative
leather_boots,Кожаные сапоги,1,legs,2,3,1:1,1024x1024,"Concept art for ""Кожаные сапоги"", a single pair of fantasy leg armor (greaves / sabatons combined piece), symmetrical pair read as one item, light armor profile, flexible, low bulk, travel-ready, no movement restriction feel, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, dim warm campfire light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
medium_leather_boots,Средн. Кожаные сапоги,1,legs,2,3,1:1,1024x1024,"Concept art for ""Средн. Кожаные сапоги"", a single pair of fantasy leg armor (greaves / sabatons combined piece), symmetrical pair read as one item, medium armor profile, balanced protection and mobility, layered plates over padding, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, dim warm campfire light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
heavy_leather_gorget,Тяж. Кожаный горжет,1,neck,1,1,1:1,1024x1024,"Concept art for ""Тяж. Кожаный горжет"", a single fantasy gorget / neck guard collar armor piece, heavy armor profile, dense protective plates, high durability, imposing mass, slower silhouette, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, dim warm campfire light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
leather_gorget,Кожаный горжет,1,neck,1,1,1:1,1024x1024,"Concept art for ""Кожаный горжет"", a single fantasy gorget / neck guard collar armor piece, light armor profile, flexible, low bulk, travel-ready, no movement restriction feel, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, dim warm campfire light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
medium_leather_gorget,Средн. Кожаный горжет,1,neck,1,1,1:1,1024x1024,"Concept art for ""Средн. Кожаный горжет"", a single fantasy gorget / neck guard collar armor piece, medium armor profile, balanced protection and mobility, layered plates over padding, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, dim warm campfire light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
heavy_leather_bracer_right,Тяж. Кожаный наруч (п),1,rightArm,1,2,1:2,768x1536,"Concept art for ""Тяж. Кожаный наруч (п)"", a single fantasy arm armor piece for right arm (vambrace / bracer / pauldron cuff), heavy armor profile, dense protective plates, high durability, imposing mass, slower silhouette, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, dim warm campfire light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
leather_bracer_right,Кожаный наруч (п),1,rightArm,1,2,1:2,768x1536,"Concept art for ""Кожаный наруч (п)"", a single fantasy arm armor piece for right arm (vambrace / bracer / pauldron cuff), light armor profile, flexible, low bulk, travel-ready, no movement restriction feel, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, dim warm campfire light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
leather_gloves,Кожаные перчатки,1,rightArm,1,2,1:2,768x1536,"Concept art for ""Кожаные перчатки"", a single fantasy arm armor piece for right arm (vambrace / bracer / pauldron cuff), light armor profile, flexible, low bulk, travel-ready, no movement restriction feel, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, dim warm campfire light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
medium_leather_bracer_right,Средн. Кожаный наруч (п),1,rightArm,1,2,1:2,768x1536,"Concept art for ""Средн. Кожаный наруч (п)"", a single fantasy arm armor piece for right arm (vambrace / bracer / pauldron cuff), medium armor profile, balanced protection and mobility, layered plates over padding, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, dim warm campfire light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
heavy_leather_jacket,Тяж. Кожаная куртка,1,torso,2,3,1:1,1024x1024,"Concept art for ""Тяж. Кожаная куртка"", a single fantasy torso armor piece (cuirass / breastplate / jack-of-plates), no limbs attached, heavy armor profile, dense protective plates, high durability, imposing mass, slower silhouette, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, dim warm campfire light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
leather_jacket,Кожаная куртка,1,torso,2,3,1:1,1024x1024,"Concept art for ""Кожаная куртка"", a single fantasy torso armor piece (cuirass / breastplate / jack-of-plates), no limbs attached, light armor profile, flexible, low bulk, travel-ready, no movement restriction feel, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, dim warm campfire light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
medium_leather_jacket,Средн. Кожаная куртка,1,torso,2,3,1:1,1024x1024,"Concept art for ""Средн. Кожаная куртка"", a single fantasy torso armor piece (cuirass / breastplate / jack-of-plates), no limbs attached, medium armor profile, balanced protection and mobility, layered plates over padding, crafted from rough leather, crude brass rivets, bone toggles, untreated hide, stitched patches, scratches, frontier militia gear, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, dim warm campfire light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
chainmail_coif,Кольчужный капюшон,2,head,2,2,1:1,1024x1024,"Concept art for ""Кольчужный капюшон"", a single fantasy helmet / head armor piece (front-three-quarter view), clear silhouette, medium armor profile, balanced protection and mobility, layered plates over padding, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
heavy_chainmail_coif,Тяж. Кольчужный капюшон,2,head,2,2,1:1,1024x1024,"Concept art for ""Тяж. Кольчужный капюшон"", a single fantasy helmet / head armor piece (front-three-quarter view), clear silhouette, heavy armor profile, dense protective plates, high durability, imposing mass, slower silhouette, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
light_chainmail_coif,Лёгк. Кольчужный капюшон,2,head,2,2,1:1,1024x1024,"Concept art for ""Лёгк. Кольчужный капюшон"", a single fantasy helmet / head armor piece (front-three-quarter view), clear silhouette, light armor profile, flexible, low bulk, travel-ready, no movement restriction feel, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
chain_sleeves_left,Кольчужный рукав (л),2,leftArm,1,2,1:2,768x1536,"Concept art for ""Кольчужный рукав (л)"", a single fantasy arm armor piece for left arm (vambrace / bracer / pauldron cuff), medium armor profile, balanced protection and mobility, layered plates over padding, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, neutral daylight --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
heavy_chain_sleeves_left,Тяж. Кольчужный рукав (л),2,leftArm,1,2,1:2,768x1536,"Concept art for ""Тяж. Кольчужный рукав (л)"", a single fantasy arm armor piece for left arm (vambrace / bracer / pauldron cuff), heavy armor profile, dense protective plates, high durability, imposing mass, slower silhouette, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, neutral daylight --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
light_chain_sleeves_left,Лёгк. Кольчужный рукав (л),2,leftArm,1,2,1:2,768x1536,"Concept art for ""Лёгк. Кольчужный рукав (л)"", a single fantasy arm armor piece for left arm (vambrace / bracer / pauldron cuff), light armor profile, flexible, low bulk, travel-ready, no movement restriction feel, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, neutral daylight --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
heavy_iron_shield,Тяж. Железный щит,2,leftHand,2,2,1:1,1024x1024,"Concept art for ""Тяж. Железный щит"", a single fantasy shield (held vertically), kite/heater/tower silhouette, straps visible on back face, heavy shield profile, broad tower or war shield, thick solid face, high durability, imposing mass, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw, hole in center, cutout center, ring shield, donut shape, empty middle, broken missing center, transparent hole through shield"
iron_shield,Железный щит,2,leftHand,2,2,1:1,1024x1024,"Concept art for ""Железный щит"", a single fantasy shield (held vertically), kite/heater/tower silhouette, straps visible on back face, medium shield profile, sturdy heater or kite shield, reinforced solid face, balanced weight, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw, hole in center, cutout center, ring shield, donut shape, empty middle, broken missing center, transparent hole through shield"
light_iron_shield,Лёгк. Железный щит,2,leftHand,2,2,1:1,1024x1024,"Concept art for ""Лёгк. Железный щит"", a single fantasy shield (held vertically), kite/heater/tower silhouette, straps visible on back face, light shield profile, small agile buckler or heater shield, slim solid face, quick straps, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw, hole in center, cutout center, ring shield, donut shape, empty middle, broken missing center, transparent hole through shield"
chain_leggings,Кольчужные поножи,2,legs,2,3,1:1,1024x1024,"Concept art for ""Кольчужные поножи"", a single pair of fantasy leg armor (greaves / sabatons combined piece), symmetrical pair read as one item, medium armor profile, balanced protection and mobility, layered plates over padding, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
heavy_chain_leggings,Тяж. Кольчужные поножи,2,legs,2,3,1:1,1024x1024,"Concept art for ""Тяж. Кольчужные поножи"", a single pair of fantasy leg armor (greaves / sabatons combined piece), symmetrical pair read as one item, heavy armor profile, dense protective plates, high durability, imposing mass, slower silhouette, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
light_chain_leggings,Лёгк. Кольчужные поножи,2,legs,2,3,1:1,1024x1024,"Concept art for ""Лёгк. Кольчужные поножи"", a single pair of fantasy leg armor (greaves / sabatons combined piece), symmetrical pair read as one item, light armor profile, flexible, low bulk, travel-ready, no movement restriction feel, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
chain_gorget,Кольчужный горжет,2,neck,1,1,1:1,1024x1024,"Concept art for ""Кольчужный горжет"", a single fantasy gorget / neck guard collar armor piece, medium armor profile, balanced protection and mobility, layered plates over padding, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
heavy_chain_gorget,Тяж. Кольчужный горжет,2,neck,1,1,1:1,1024x1024,"Concept art for ""Тяж. Кольчужный горжет"", a single fantasy gorget / neck guard collar armor piece, heavy armor profile, dense protective plates, high durability, imposing mass, slower silhouette, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
light_chain_gorget,Лёгк. Кольчужный горжет,2,neck,1,1,1:1,1024x1024,"Concept art for ""Лёгк. Кольчужный горжет"", a single fantasy gorget / neck guard collar armor piece, light armor profile, flexible, low bulk, travel-ready, no movement restriction feel, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
chain_sleeves_right,Кольчужный рукав (п),2,rightArm,1,2,1:2,768x1536,"Concept art for ""Кольчужный рукав (п)"", a single fantasy arm armor piece for right arm (vambrace / bracer / pauldron cuff), medium armor profile, balanced protection and mobility, layered plates over padding, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, neutral daylight --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
heavy_chain_sleeves_right,Тяж. Кольчужный рукав (п),2,rightArm,1,2,1:2,768x1536,"Concept art for ""Тяж. Кольчужный рукав (п)"", a single fantasy arm armor piece for right arm (vambrace / bracer / pauldron cuff), heavy armor profile, dense protective plates, high durability, imposing mass, slower silhouette, crafted from interlocking mail rings, mild steel, padded arming cap layer, waxed leather edging, battle-worn ring mail, functional, no flourish, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, neutral daylight --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
