category,id,name,tier,weight,value,prompt,negative
belts,leather_belt,Кожаный пояс,1,0.5,12,"Concept ""Кожаный пояс"", fantasy waist belt pouches straps buckle studs utility loops; roughly 3 pouch slots narrative hint and 1 side mounts for weapon frogs quivers holsters; leather textile mixed metals; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
backpacks,leather_satchel,Кожаная сумка,1,0.8,20,"Concept ""Кожаная сумка"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,mortar_pestle,Ступка и пестик,1,1,8,"Concept ""Ступка и пестик"", emphasis handheld toolkit readable silhouette compact bench fold hinges, glass retorts clamps burner coils bottles racks, modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration.  --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,pickaxe_iron,Железная кирка,1,3,15,"Concept ""Железная кирка"", emphasis handheld toolkit readable silhouette compact bench fold hinges, pickaxe drill brace crank cables reinforcement plate, modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration.  --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,potion_bandolier,Бандольер (зелья),1,0.4,18,"Concept ""Бандольер (зелья)"", belt-mounted frog strap buckle swivel clips hanger bracket fantasy utility; weapon accessory silhouette readable silhouette empty slots implied; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
belts,rope_belt,Верёвочный пояс,1,0.3,3,"Concept ""Верёвочный пояс"", fantasy waist belt pouches straps buckle studs utility loops; roughly 2 pouch slots narrative hint and 0 side mounts for weapon frogs quivers holsters; leather textile mixed metals; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,side_pouch,Боковой подсумок,1,0.3,12,"Concept ""Боковой подсумок"", mount bracket modular pouch snaps clips backpack accessory riveted straps; weapon accessory silhouette readable silhouette empty slots implied; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
backpacks,small_sack,Небольшой мешок,1,0.5,5,"Concept ""Небольшой мешок"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,sword_scabbard,Ножны (меч),1,0.4,15,"Concept ""Ножны (меч)"", belt-mounted frog strap buckle swivel clips hanger bracket fantasy utility; weapon accessory silhouette readable silhouette empty slots implied; modest worn traveler gear, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,alch_kit,Алхимический набор,2,3,60,"Concept ""Алхимический набор"", emphasis handheld toolkit readable silhouette compact bench fold hinges, glass retorts clamps burner coils bottles racks, reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration.  --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,crossbow_hook,Крюк (арбалет),2,0.3,25,"Concept ""Крюк (арбалет)"", belt-mounted frog strap buckle swivel clips hanger bracket fantasy utility; weapon accessory silhouette readable silhouette empty slots implied; reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,greatsword_scabbard,Ножны (двуруч.),2,0.6,30,"Concept ""Ножны (двуруч.)"", belt-mounted frog strap buckle swivel clips hanger bracket fantasy utility; weapon accessory silhouette readable silhouette empty slots implied; reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
backpacks,hunters_bag,Охотничья сума,2,1,60,"Concept ""Охотничья сума"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,large_bandolier,Бандольер большой,2,0.6,35,"Concept ""Бандольер большой"", belt-mounted frog strap buckle swivel clips hanger bracket fantasy utility; weapon accessory silhouette readable silhouette empty slots implied; reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,master_tools,Инструменты мастера,2,2,50,"Concept ""Инструменты мастера"", emphasis handheld toolkit readable silhouette compact bench fold hinges, vise clamps rulers drawers pegboard folded bench legs sawdust, reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration.  --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,pickaxe_steel,Стальная кирка,2,3,40,"Concept ""Стальная кирка"", emphasis handheld toolkit readable silhouette compact bench fold hinges, pickaxe drill brace crank cables reinforcement plate, reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration.  --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,shield_hook,Крюк для щита,2,0.35,28,"Concept ""Крюк для щита"", belt-mounted frog strap buckle swivel clips hanger bracket fantasy utility; weapon accessory silhouette readable silhouette empty slots implied; reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
belts,soldier_belt,Солдатский пояс,2,0.8,40,"Concept ""Солдатский пояс"", fantasy waist belt pouches straps buckle studs utility loops; roughly 4 pouch slots narrative hint and 2 side mounts for weapon frogs quivers holsters; leather textile mixed metals; reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
backpacks,soldier_pack,Солдатский ранец,2,1.5,70,"Concept ""Солдатский ранец"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,spear_frog,Чехол для копья,2,0.35,22,"Concept ""Чехол для копья"", belt-mounted frog strap buckle swivel clips hanger bracket fantasy utility; weapon accessory silhouette readable silhouette empty slots implied; reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,steel_hammer,Стальной молот,2,2,40,"Concept ""Стальной молот"", emphasis handheld toolkit readable silhouette compact bench fold hinges, forge tongs hammer anvil sparks soot, reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration.  --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
backpacks,travelers_pack,Дорожный ранец,2,1.2,55,"Concept ""Дорожный ранец"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,utility_strap,Разгрузочная стропа,2,0.3,30,"Concept ""Разгрузочная стропа"", torso harness modular straps threaded clips climbing buckle tactical vest snippet; weapon accessory silhouette readable silhouette empty slots implied; reliable soldier surplus quality, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,bronze_brazier_set,Бронзовый жаровенный набор,3,8,280,"Concept ""Бронзовый жаровенный набор"", emphasis handheld toolkit readable silhouette compact bench fold hinges, iron grate kettle pans stacked crates skewers steam, guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. Жаровня на треноге и котлы для полевых отрядов — база перед сборкой большой кухни на салазках.. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,dwarven_hammer,Гномий молот,3,2,150,"Concept ""Гномий молот"", emphasis handheld toolkit readable silhouette compact bench fold hinges, forge tongs hammer anvil sparks soot, guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration.  --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,fold_sawhorse_pair,Пара складных козёл,3,12,90,"Concept ""Пара складных козёл"", emphasis handheld toolkit readable silhouette compact bench fold hinges, vise clamps rulers drawers pegboard folded bench legs sawdust, guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. Для распила и сборки заготовок в полевых условиях.. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
backpacks,frame_pack,Рамный рюкзак,3,2.5,200,"Concept ""Рамный рюкзак"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,grand_alch_kit,Большая алхим. лаб.,3,5,200,"Concept ""Большая алхим. лаб."", emphasis handheld toolkit readable silhouette compact bench fold hinges, glass retorts clamps burner coils bottles racks, guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration.  --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
backpacks,large_backpack,Большой рюкзак,3,2,150,"Concept ""Большой рюкзак"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
belts,tactical_belt,Тактический пояс,3,1,120,"Concept ""Тактический пояс"", fantasy waist belt pouches straps buckle studs utility loops; roughly 10 pouch slots narrative hint and 3 side mounts for weapon frogs quivers holsters; leather textile mixed metals; guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,travel_anvil_kit,Дорожная наковальня в ящике,3,22,280,"Concept ""Дорожная наковальня в ящике"", emphasis bulky wagon planks reinforced hinges straps draft-animal towing cues, forge tongs hammer anvil sparks soot, guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. Складная наковальня и малый горн в деревянном коробе. Тянет упряжка или два крепких грузчика.. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,wand_loop,Петля для жезла,3,0.15,55,"Concept ""Петля для жезла"", belt-mounted frog strap buckle swivel clips hanger bracket fantasy utility; weapon accessory silhouette readable silhouette empty slots implied; guild craftsman upgraded fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
backpacks,alchemist_satchel,Сумка алхимика,4,1.5,300,"Concept ""Сумка алхимика"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; merchant caravan rugged prestige, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,deep_drill_brace,Шахтёрский бурильный станок,4,28,520,"Concept ""Шахтёрский бурильный станок"", emphasis bulky wagon planks reinforced hinges straps draft-animal towing cues, pickaxe drill brace crank cables reinforcement plate, merchant caravan rugged prestige, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. Ручная дрель на станине для узких штолен.. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
belts,explorer_girdle,Пояс следопыта,4,1.1,210,"Concept ""Пояс следопыта"", fantasy waist belt pouches straps buckle studs utility loops; roughly 10 pouch slots narrative hint and 4 side mounts for weapon frogs quivers holsters; leather textile mixed metals; merchant caravan rugged prestige, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,field_kitchen_cart,Полевая кухня на салазках,4,38,660,"Concept ""Полевая кухня на салазках"", emphasis massive ox-cart wheels timber beams ropes sweat gloss metal enormous portable forge silhouette, iron grate kettle pans stacked crates skewers steam, merchant caravan rugged prestige, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. Плита, жаровня и ящик для продуктов. Нужна лошадь или несколько грузоносцев.. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,folding_alchemy_bench,Складной алхимический стол,4,18,740,"Concept ""Складной алхимический стол"", emphasis bulky wagon planks reinforced hinges straps draft-animal towing cues, glass retorts clamps burner coils bottles racks, merchant caravan rugged prestige, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. Стойки, зажимы и подставки под колбы складываются в один ящик.. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,grenade_loop,Кольца под метательное,4,0.25,95,"Concept ""Кольца под метательное"", belt-mounted frog strap buckle swivel clips hanger bracket fantasy utility; weapon accessory silhouette readable silhouette empty slots implied; merchant caravan rugged prestige, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,portable_smith_kit,Переносная кузница,4,48,920,"Concept ""Переносная кузница"", emphasis massive ox-cart wheels timber beams ropes sweat gloss metal enormous portable forge silhouette, forge tongs hammer anvil sparks soot, merchant caravan rugged prestige, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. Горн, малая наковальня и салазки. Выставляется за час; перевозится на телеге или двух быках.. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
attachments,telescoping_quiver,Телескопический колчан,4,0.65,140,"Concept ""Телескопический колчан"", belt-mounted frog strap buckle swivel clips hanger bracket fantasy utility; weapon accessory silhouette readable silhouette empty slots implied; merchant caravan rugged prestige, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,master_artisans_cart,Стол ремесленника на колёсах,5,42,1550,"Concept ""Стол ремесленника на колёсах"", emphasis massive ox-cart wheels timber beams ropes sweat gloss metal enormous portable forge silhouette, vise clamps rulers drawers pegboard folded bench legs sawdust, noble artisan embossed fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. Ящики с оснасткой для столярки, кожи и мелкой ковки в одном фургончике.. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
belts,mithril_belt,Митрильный пояс,5,0.5,800,"Concept ""Митрильный пояс"", fantasy waist belt pouches straps buckle studs utility loops; roughly 12 pouch slots narrative hint and 4 side mounts for weapon frogs quivers holsters; leather textile mixed metals; noble artisan embossed fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
backpacks,mithril_pack,Митрильный рюкзак,5,1,1200,"Concept ""Митрильный рюкзак"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; noble artisan embossed fittings, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
backpacks,caravan_master_pack,Рюкзак караванного бариши,6,2.2,2150,"Concept ""Рюкзак караванного бариши"", fantasy backpack satchel straps buckles rolled blanket bedroll cues; arcane stitching subtle if high tier; elite siege train officer workshop, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
belts,siege_belt,Осадный пояс,6,1.8,2200,"Concept ""Осадный пояс"", fantasy waist belt pouches straps buckle studs utility loops; roughly 12 pouch slots narrative hint and 5 side mounts for weapon frogs quivers holsters; leather textile mixed metals; elite siege train officer workshop, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,steam_evaporator_kit,Паровая перегонная установка,6,58,3950,"Concept ""Паровая перегонная установка"", emphasis massive ox-cart wheels timber beams ropes sweat gloss metal enormous portable forge silhouette, glass retorts clamps burner coils bottles racks, elite siege train officer workshop, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. Медные змеевики и котёл; тяжёл, зато чистые фракции.. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,tunnel_jack_system,Комплект туннельных лесов,6,52,3400,"Concept ""Комплект туннельных лесов"", emphasis massive ox-cart wheels timber beams ropes sweat gloss metal enormous portable forge silhouette, pickaxe drill brace crank cables reinforcement plate, elite siege train officer workshop, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. Распорки и лебёдка для укрепления забоя.. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,wagon_forge,Кузница на колёсах,6,118,4800,"Concept ""Кузница на колёсах"", emphasis massive ox-cart wheels timber beams ropes sweat gloss metal enormous portable forge silhouette, forge tongs hammer anvil sparks soot, elite siege train officer workshop, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. Полноценный горн и средняя наковальня на двухосяном тележном ходу. Обычно тянет пара мулов или один упряжный зверь.. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
tools,alchemical_caravan_lab,Караванная алхимлаборатория,7,98,11200,"Concept ""Караванная алхимлаборатория"", emphasis massive ox-cart wheels timber beams ropes sweat gloss metal enormous portable forge silhouette, glass retorts clamps burner coils bottles racks, rare siege caravan engineered spectacle, single isolated fantasy RPG inventory icon, centered, transparent or plain dark background, square composition, sharp focus, painterly detailed illustration. Два стола, витражи с реагентами и фиксация колб — груз на фургон.. --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered warehouse wide shot, multiple objects collage, human face full portrait, holding hands visible, nsfw"
