catalog,id,name,tier,type,gridW,gridH,aspect,targetFile,targetImg,targetExists,currentImg,prompt,negative
armor,plate_arms_right,Стальной наруч (п),3,armor,1,2,1:2,icons/items/armor/plate_arms_right.webp,systems/iron-hills-system/icons/items/armor/plate_arms_right.webp,true,systems/iron-hills-system/icons/items/armor/plate_arms_right.webp,"Concept art for ""Стальной наруч (п)"", a single fantasy arm armor piece for right arm (vambrace / bracer / pauldron cuff), crafted from polished steel plates, articulated lames, leather straps, simple etchings, knight-issue half plate, well-maintained soldier kit, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, forge embers glow in background --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,plate_chest,Нагрудник,3,armor,2,3,1:1,icons/items/armor/plate_chest.webp,systems/iron-hills-system/icons/items/armor/plate_chest.webp,true,systems/iron-hills-system/icons/items/armor/plate_chest.webp,"Concept art for ""Нагрудник"", a single fantasy torso armor piece (cuirass / breastplate / jack-of-plates), no limbs attached, crafted from polished steel plates, articulated lames, leather straps, simple etchings, knight-issue half plate, well-maintained soldier kit, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, forge embers glow in background --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,plate_gorget,Стальной горжет,3,armor,1,1,1:1,icons/items/armor/plate_gorget.webp,systems/iron-hills-system/icons/items/armor/plate_gorget.webp,true,systems/iron-hills-system/icons/items/armor/plate_gorget.webp,"Concept art for ""Стальной горжет"", a single fantasy gorget / neck guard collar armor piece, crafted from polished steel plates, articulated lames, leather straps, simple etchings, knight-issue half plate, well-maintained soldier kit, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, forge embers glow in background --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,plate_helm,Стальной шлем,3,armor,2,2,1:1,icons/items/armor/plate_helm.webp,systems/iron-hills-system/icons/items/armor/plate_helm.webp,true,systems/iron-hills-system/icons/items/armor/plate_helm.webp,"Concept art for ""Стальной шлем"", a single fantasy helmet / head armor piece (front-three-quarter view), clear silhouette, crafted from polished steel plates, articulated lames, leather straps, simple etchings, knight-issue half plate, well-maintained soldier kit, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, forge embers glow in background --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,plate_legs,Набедренники,3,armor,2,3,1:1,icons/items/armor/plate_legs.webp,systems/iron-hills-system/icons/items/armor/plate_legs.webp,true,systems/iron-hills-system/icons/items/armor/plate_legs.webp,"Concept art for ""Набедренники"", a single pair of fantasy leg armor (greaves / sabatons combined piece), symmetrical pair read as one item, crafted from polished steel plates, articulated lames, leather straps, simple etchings, knight-issue half plate, well-maintained soldier kit, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, forge embers glow in background --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,alloy_bracer_left,Легир. наруч (л),4,armor,1,2,1:2,icons/items/armor/alloy_bracer_left.webp,systems/iron-hills-system/icons/items/armor/alloy_bracer_left.webp,true,systems/iron-hills-system/icons/items/armor/alloy_bracer_left.webp,"Concept art for ""Легир. наруч (л)"", a single fantasy arm armor piece for left arm (vambrace / bracer / pauldron cuff), crafted from tempered steel with bronze/brass inlays, blackened edges, heraldic crest embossing, commander-grade, decorative but practical, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, clean white studio light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,alloy_bracer_right,Легир. наруч (п),4,armor,1,2,1:2,icons/items/armor/alloy_bracer_right.webp,systems/iron-hills-system/icons/items/armor/alloy_bracer_right.webp,true,systems/iron-hills-system/icons/items/armor/alloy_bracer_right.webp,"Concept art for ""Легир. наруч (п)"", a single fantasy arm armor piece for right arm (vambrace / bracer / pauldron cuff), crafted from tempered steel with bronze/brass inlays, blackened edges, heraldic crest embossing, commander-grade, decorative but practical, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, clean white studio light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,alloy_chest,Легированный панцирь,4,armor,2,3,1:1,icons/items/armor/alloy_chest.webp,systems/iron-hills-system/icons/items/armor/alloy_chest.webp,true,systems/iron-hills-system/icons/items/armor/alloy_chest.webp,"Concept art for ""Легированный панцирь"", a single fantasy torso armor piece (cuirass / breastplate / jack-of-plates), no limbs attached, crafted from tempered steel with bronze/brass inlays, blackened edges, heraldic crest embossing, commander-grade, decorative but practical, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, clean white studio light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,alloy_gorget,Легир. горжет,4,armor,1,1,1:1,icons/items/armor/alloy_gorget.webp,systems/iron-hills-system/icons/items/armor/alloy_gorget.webp,true,systems/iron-hills-system/icons/items/armor/alloy_gorget.webp,"Concept art for ""Легир. горжет"", a single fantasy gorget / neck guard collar armor piece, crafted from tempered steel with bronze/brass inlays, blackened edges, heraldic crest embossing, commander-grade, decorative but practical, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, clean white studio light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,alloy_helm,Легированный шлем,4,armor,2,2,1:1,icons/items/armor/alloy_helm.webp,systems/iron-hills-system/icons/items/armor/alloy_helm.webp,true,systems/iron-hills-system/icons/items/armor/alloy_helm.webp,"Concept art for ""Легированный шлем"", a single fantasy helmet / head armor piece (front-three-quarter view), clear silhouette, crafted from tempered steel with bronze/brass inlays, blackened edges, heraldic crest embossing, commander-grade, decorative but practical, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, clean white studio light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,alloy_legs,Легированные поножи,4,armor,2,3,1:1,icons/items/armor/alloy_legs.webp,systems/iron-hills-system/icons/items/armor/alloy_legs.webp,true,systems/iron-hills-system/icons/items/armor/alloy_legs.webp,"Concept art for ""Легированные поножи"", a single pair of fantasy leg armor (greaves / sabatons combined piece), symmetrical pair read as one item, crafted from tempered steel with bronze/brass inlays, blackened edges, heraldic crest embossing, commander-grade, decorative but practical, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, clean white studio light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,tower_shield,Башенный щит,4,armor,2,2,1:1,icons/items/armor/tower_shield.webp,systems/iron-hills-system/icons/items/armor/tower_shield.webp,true,systems/iron-hills-system/icons/items/armor/tower_shield.webp,"Concept art for ""Башенный щит"", a single fantasy shield (held vertically), kite/heater/tower silhouette, straps visible on back face, crafted from tempered steel with bronze/brass inlays, blackened edges, heraldic crest embossing, commander-grade, decorative but practical, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, clean white studio light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,mithril_bracer_left,Митрильный наруч (л),5,armor,1,2,1:2,icons/items/armor/mithril_bracer_left.webp,systems/iron-hills-system/icons/items/armor/mithril_bracer_left.webp,true,systems/iron-hills-system/icons/items/armor/mithril_bracer_left.webp,"Concept art for ""Митрильный наруч (л)"", a single fantasy arm armor piece for left arm (vambrace / bracer / pauldron cuff), crafted from mithril gleam (silver-white with faint blue tint), featherweight plates, sapphire rivets, masterwork, elven-smith finish, faintly magical, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, cool blue rim light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,mithril_bracer_right,Митрильный наруч (п),5,armor,1,2,1:2,icons/items/armor/mithril_bracer_right.webp,systems/iron-hills-system/icons/items/armor/mithril_bracer_right.webp,true,systems/iron-hills-system/icons/items/armor/mithril_bracer_right.webp,"Concept art for ""Митрильный наруч (п)"", a single fantasy arm armor piece for right arm (vambrace / bracer / pauldron cuff), crafted from mithril gleam (silver-white with faint blue tint), featherweight plates, sapphire rivets, masterwork, elven-smith finish, faintly magical, vertical orientation, armor piece upright, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 768x1536, cool blue rim light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,mithril_chest,Митрильный нагрудник,5,armor,2,3,1:1,icons/items/armor/mithril_chest.webp,systems/iron-hills-system/icons/items/armor/mithril_chest.webp,true,systems/iron-hills-system/icons/items/armor/mithril_chest.webp,"Concept art for ""Митрильный нагрудник"", a single fantasy torso armor piece (cuirass / breastplate / jack-of-plates), no limbs attached, crafted from mithril gleam (silver-white with faint blue tint), featherweight plates, sapphire rivets, masterwork, elven-smith finish, faintly magical, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, cool blue rim light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,mithril_gorget,Митрильный горжет,5,armor,1,1,1:1,icons/items/armor/mithril_gorget.webp,systems/iron-hills-system/icons/items/armor/mithril_gorget.webp,true,systems/iron-hills-system/icons/items/armor/mithril_gorget.webp,"Concept art for ""Митрильный горжет"", a single fantasy gorget / neck guard collar armor piece, crafted from mithril gleam (silver-white with faint blue tint), featherweight plates, sapphire rivets, masterwork, elven-smith finish, faintly magical, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, cool blue rim light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,mithril_helm,Митрильный шлем,5,armor,2,2,1:1,icons/items/armor/mithril_helm.webp,systems/iron-hills-system/icons/items/armor/mithril_helm.webp,true,systems/iron-hills-system/icons/items/armor/mithril_helm.webp,"Concept art for ""Митрильный шлем"", a single fantasy helmet / head armor piece (front-three-quarter view), clear silhouette, crafted from mithril gleam (silver-white with faint blue tint), featherweight plates, sapphire rivets, masterwork, elven-smith finish, faintly magical, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, cool blue rim light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,mithril_legs,Митрильные поножи,5,armor,2,3,1:1,icons/items/armor/mithril_legs.webp,systems/iron-hills-system/icons/items/armor/mithril_legs.webp,true,systems/iron-hills-system/icons/items/armor/mithril_legs.webp,"Concept art for ""Митрильные поножи"", a single pair of fantasy leg armor (greaves / sabatons combined piece), symmetrical pair read as one item, crafted from mithril gleam (silver-white with faint blue tint), featherweight plates, sapphire rivets, masterwork, elven-smith finish, faintly magical, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, cool blue rim light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
armor,mithril_shield,Митрильный щит,5,armor,2,2,1:1,icons/items/armor/mithril_shield.webp,systems/iron-hills-system/icons/items/armor/mithril_shield.webp,true,systems/iron-hills-system/icons/items/armor/mithril_shield.webp,"Concept art for ""Митрильный щит"", a single fantasy shield (held vertically), kite/heater/tower silhouette, straps visible on back face, crafted from mithril gleam (silver-white with faint blue tint), featherweight plates, sapphire rivets, masterwork, elven-smith finish, faintly magical, balanced composition, helmet-centered, isolated single object, transparent or plain dark background, centered, full item visible, armor catalog orthographic clarity, no human, no hands wearing it, sharp focus, high detail, painterly fantasy icon, soft rim light, 1024x1024, cool blue rim light --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple separate armor sets, full suit spread out, human body, character wearing armor, cluttered background, nsfw"
