id,name,tier,lootPool,lootSummaryRu,prompt,negative
"ridge_wyvern","Гребнеспинная виверна","6","kaiju_shard_t6","Нарезка с виверны ~82%; Шкура варга ~76%; Шкура виверны ~59%; Мешок с ядом ~48%","Concept of ""Гребнеспинная виверна"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Взрослая охотница среди кряжей и утёсов; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 6 encounter presence, apex kaiju-lite fantasy monster, heroic presence, cinematic contrast, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"ironhide_ram","Железношёрстный таран","6","kaiju_shard_t6","Нарезка с виверны ~82%; Шкура варга ~76%; Шкура виверны ~59%; Мешок с ядом ~48%","Concept of ""Железношёрстный таран"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Наросты руды по хребту — топор нужен основательнее; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 6 encounter presence, apex kaiju-lite fantasy monster, heroic presence, cinematic contrast, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"obsidian_skerry_swarm","Обсидиановый шквал‑жук","6","kaiju_shard_t6","Нарезка с виверны ~82%; Шкура варга ~76%; Шкура виверны ~59%; Мешок с ядом ~48%","Concept of ""Обсидиановый шквал‑жук"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Самосветящийся летающий рой — жало греется до раскала; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 6 encounter presence, apex kaiju-lite fantasy monster, heroic presence, cinematic contrast, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"cliffshade_griffon","Тенегриф утёсов","7","beast_lord_t7","Нарезка с виверны ~85%; Шкура виверны ~81%; Чешуя дрейка ~71%; Мешок с ядом ~47%; Железа монстра ~27%","Concept of ""Тенегриф утёсов"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Когти царапают камень; тень от крыла режет вертикаль скалы; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 7 encounter presence, ominous, brooding, menacing presence, evil-looking, deep purple rim light wisps, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"pitbone_horror","Костяная тварь ямы","7","beast_lord_t7","Нарезка с виверны ~85%; Шкура виверны ~81%; Чешуя дрейка ~71%; Мешок с ядом ~47%; Железа монстра ~27%","Concept of ""Костяная тварь ямы"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Скопище черепов и сухожилий, шевелящееся разом как одно; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 7 encounter presence, ominous, brooding, menacing presence, evil-looking, deep purple rim light wisps, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"ash_ember_larva_colossus","Пепельный гигант‑личинка","7","beast_lord_t7","Нарезка с виверны ~85%; Шкура виверны ~81%; Чешуя дрейка ~71%; Мешок с ядом ~47%; Железа монстра ~27%","Concept of ""Пепельный гигант‑личинка"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Ползущий жар между шлаковыми кучами; шкура курится сама собой; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 7 encounter presence, ominous, brooding, menacing presence, evil-looking, deep purple rim light wisps, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"frostgrave_direwolf","Морозный великоволк","8","beast_lord_t8","Нарезка с виверны ~81%; Шкура виверны ~81%; Чешуя дрейка ~75%; Смоляная пробка хищника ~53%; Мешок с ядом ~27%","Concept of ""Морозный великоволк"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Низкий вой обмерзших туманностей по ночному полю; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 8 encounter presence, celestial aberration undertone, otherworldly predator, cosmic blue violet glow hints, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"ravine_basalt_walker","Базальтовый странник ущелья","8","beast_lord_t8","Нарезка с виверны ~81%; Шкура виверны ~81%; Чешуя дрейка ~75%; Смоляная пробка хищника ~53%; Мешок с ядом ~27%","Concept of ""Базальтовый странник ущелья"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Ступени из плит, срастаются с утёсом при каждом шаге; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 8 encounter presence, celestial aberration undertone, otherworldly predator, cosmic blue violet glow hints, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"stormbreak_idol_golem","Буреломный идол‑голем","8","beast_lord_t8","Нарезка с виверны ~81%; Шкура виверны ~81%; Чешуя дрейка ~75%; Смоляная пробка хищника ~53%; Мешок с ядом ~27%","Concept of ""Буреломный идол‑голем"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Статуя времен старых шахт‑святынь, пробуждена бурей; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 8 encounter presence, celestial aberration undertone, otherworldly predator, cosmic blue violet glow hints, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"starfur_ursine","Звёздношёрстный медведь","9","beast_lord_t9","Нарезка с виверны ~84%; Шкура варга ~84%; Шкура виверны ~77%; Железа монстра ~60%; Осколок клыка ~39%; Железа вожака ~22%","Concept of ""Звёздношёрстный медведь"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Свет точек на шкурном полотне кружится после заката; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 9 encounter presence, legendary apex beast, ornate trophy hunter quarry, golden rim accents, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"phantom_knight_mount","Скверноконный рыцарь‑зрак","9","beast_lord_t9","Нарезка с виверны ~84%; Шкура варга ~84%; Шкура виверны ~77%; Железа монстра ~60%; Осколок клыка ~39%; Железа вожака ~22%","Concept of ""Скверноконный рыцарь‑зрак"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Слипшийся образ коня и костей в дымчатой бронепластине; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 9 encounter presence, legendary apex beast, ornate trophy hunter quarry, golden rim accents, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"cauldr_edge_drakebond","Краевой надсмотрщик‑змеедракон","9","beast_lord_t9","Нарезка с виверны ~84%; Шкура варга ~84%; Шкура виверны ~77%; Железа монстра ~60%; Осколок клыка ~39%; Железа вожака ~22%","Concept of ""Краевой надсмотрщик‑змеедракон"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Хранит стык жаровни и рудного пласта; дыхание жжёт шлак; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 9 encounter presence, legendary apex beast, ornate trophy hunter quarry, golden rim accents, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"worldspine_serpent","Змей мирового остова","10","primordial_harvest_t10","Нарезка с виверны ~81%; Шкура виверны ~77%; Чешуя дрейка ~74%; Смоляная пробка хищника ~65%; Железа монстра ~60%; Железа вожака ~22%","Concept of ""Змей мирового остова"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Длина затмевает хребет; чешуйка как кровати настила; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 10 encounter presence, primordial colossus, mythical kaiju silhouette, cracks of inner light leaking, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"ashridge_colossus","Колосс Пепельного хребта","10","primordial_harvest_t10","Нарезка с виверны ~81%; Шкура виверны ~77%; Чешуя дрейка ~74%; Смоляная пробка хищника ~65%; Железа монстра ~60%; Железа вожака ~22%","Concept of ""Колосс Пепельного хребта"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Горячий титан между заводями шлака и старыми печами; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 10 encounter presence, primordial colossus, mythical kaiju silhouette, cracks of inner light leaking, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
"vein_gullet_leviathan","Пожиратель рудных жил","10","primordial_harvest_t10","Нарезка с виверны ~81%; Шкура виверны ~77%; Чешуя дрейка ~74%; Смоляная пробка хищника ~65%; Железа монстра ~60%; Железа вожака ~22%","Concept of ""Пожиратель рудных жил"", one single fantasy monster token for tabletop RPG — Iron Hills: ash bogs, briar scrub, rusty mine runoff; Рот как штрек; глушит залежи голым жаром и голодом; isolated fantasy creature illustration, centered, full body readable, painterly RPG style, matte painting, coherent lighting, ambient occlusion, game token suitable, circular crop friendly, neutral ground shadow, sharp focus, tier 10 encounter presence, primordial colossus, mythical kaiju silhouette, cracks of inner light leaking, portrait-friendly framing, subtle breath fog, muted ochre rust evergreen brown palette, transparent or plain dark background, no UI frame, 1024x1024, soft rim light, slight specular highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, swarm, collage, crowded scene, person, playable character, HUD, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
