id,name,tier,skill,twoHanded,gridW,gridH,aspect,resolution,prompt,negative
bronze_greataxe,Бронзовая секира,2,axe,true,1,3,1:3,512x1536,"Concept of ""Бронзовая секира"", a single fantasy two-handed battle axe / great-axe, large bearded head, long oak haft, iron rivets, made of bronze fittings, oak wood, tin rivets, rough leather wrap, tribal, hand-forged, well-used, vertical orientation, weapon pointing up, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 512x1536, neutral daylight --ar 1:3","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
long_bow,Длинный лук,2,bow,true,1,4,1:4,384x1536,"Concept of ""Длинный лук"", a single fantasy longbow, recurve limbs, drawstring, no arrow nocked, made of bronze fittings, oak wood, tin rivets, rough leather wrap, tribal, hand-forged, well-used, extreme vertical orientation, weapon pointing up, full length visible top-to-bottom, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 384x1536, neutral daylight --ar 1:4","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
lt_crossbow,Лёгкий арбалет,2,crossbow,true,1,2,1:2,768x1536,"Concept of ""Лёгкий арбалет"", a single fantasy crossbow, wooden tiller with steel limbs, intricate trigger mechanism, no bolt loaded, made of bronze fittings, oak wood, tin rivets, rough leather wrap, tribal, hand-forged, well-used, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, neutral daylight --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
oak_staff,Дубовый посох,2,exotic,true,1,4,1:4,384x1536,"Concept of ""Дубовый посох"", a single fantasy wizard's staff, tall straight pole, ornamented head, no orb floating, made of bronze fittings, oak wood, tin rivets, rough leather wrap, tribal, hand-forged, well-used, extreme vertical orientation, weapon pointing up, full length visible top-to-bottom, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 384x1536, neutral daylight --ar 1:4","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
bronze_flail,Бронзовый кистень,2,flail,false,1,2,1:2,768x1536,"Concept of ""Бронзовый кистень"", a single fantasy flail, spiked metal ball on chain, wooden grip, dangerous looking, made of bronze fittings, oak wood, tin rivets, rough leather wrap, tribal, hand-forged, well-used, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, neutral daylight --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
bronze_knife,Бронзовый нож,2,knife,false,1,2,1:2,768x1536,"Concept of ""Бронзовый нож"", a single fantasy combat knife / dagger, leaf-shaped blade, full tang, leather-wrapped grip, made of bronze fittings, oak wood, tin rivets, rough leather wrap, tribal, hand-forged, well-used, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, neutral daylight --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
bronze_mace,Бронзовая булава,2,mace,false,1,2,1:2,768x1536,"Concept of ""Бронзовая булава"", a single fantasy mace, flanged head, short metal haft, leather grip, made of bronze fittings, oak wood, tin rivets, rough leather wrap, tribal, hand-forged, well-used, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, neutral daylight --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
bronze_warhammer,Бронзовый молот,2,mace,true,1,3,1:3,512x1536,"Concept of ""Бронзовый молот"", a single fantasy two-handed war hammer, large blunt head with spike on the back, long haft, made of bronze fittings, oak wood, tin rivets, rough leather wrap, tribal, hand-forged, well-used, vertical orientation, weapon pointing up, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 512x1536, neutral daylight --ar 1:3","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
bronze_spear,Бронзовое копьё,2,spear,true,1,4,1:4,384x1536,"Concept of ""Бронзовое копьё"", a single fantasy spear, long straight shaft, leaf-shaped spearhead, bound with leather strap, made of bronze fittings, oak wood, tin rivets, rough leather wrap, tribal, hand-forged, well-used, extreme vertical orientation, weapon pointing up, full length visible top-to-bottom, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 384x1536, neutral daylight --ar 1:4","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
bronze_greatsword,Бронзовый двуруч,2,sword,true,1,4,1:4,384x1536,"Concept of ""Бронзовый двуруч"", a single fantasy two-handed greatsword, long straight blade, large cross guard, ricasso, two-hand grip, made of bronze fittings, oak wood, tin rivets, rough leather wrap, tribal, hand-forged, well-used, extreme vertical orientation, weapon pointing up, full length visible top-to-bottom, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 384x1536, neutral daylight --ar 1:4","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
bronze_sword,Бронзовый меч,2,sword,false,1,3,1:3,512x1536,"Concept of ""Бронзовый меч"", a single fantasy arming sword, straight double-edged blade, cross guard, leather-wrapped grip, made of bronze fittings, oak wood, tin rivets, rough leather wrap, tribal, hand-forged, well-used, vertical orientation, weapon pointing up, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 512x1536, neutral daylight --ar 1:3","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
javelin,Дротик,2,throwing,false,1,3,1:3,512x1536,"Concept of ""Дротик"", a set of three fantasy throwing daggers / chakrams arranged in a fan, balanced, identical, made of bronze fittings, oak wood, tin rivets, rough leather wrap, tribal, hand-forged, well-used, vertical orientation, weapon pointing up, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 512x1536, neutral daylight --ar 1:3","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
throwing_knives,Метательные ножи,2,throwing,false,1,1,1:1,1024x1024,"Concept of ""Метательные ножи"", a set of three fantasy throwing daggers / chakrams arranged in a fan, balanced, identical, made of bronze fittings, oak wood, tin rivets, rough leather wrap, tribal, hand-forged, well-used, fan layout, balanced composition, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 1024x1024, neutral daylight --ar 1:1","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
iron_axe,Железный топор,3,axe,false,1,2,1:2,768x1536,"Concept of ""Железный топор"", a single fantasy hand axe, single-bit head, wooden haft, iron banding, made of polished iron, hardwood haft, carbonized leather, simple etchings, standard issue, town-blacksmith made, well-maintained, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, forge embers glow in background --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
iron_greataxe,Железная секира,3,axe,true,1,3,1:3,512x1536,"Concept of ""Железная секира"", a single fantasy two-handed battle axe / great-axe, large bearded head, long oak haft, iron rivets, made of polished iron, hardwood haft, carbonized leather, simple etchings, standard issue, town-blacksmith made, well-maintained, vertical orientation, weapon pointing up, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 512x1536, forge embers glow in background --ar 1:3","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
hunters_bow,Охотничий лук,3,bow,true,1,4,1:4,384x1536,"Concept of ""Охотничий лук"", a single fantasy longbow, recurve limbs, drawstring, no arrow nocked, made of polished iron, hardwood haft, carbonized leather, simple etchings, standard issue, town-blacksmith made, well-maintained, extreme vertical orientation, weapon pointing up, full length visible top-to-bottom, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 384x1536, forge embers glow in background --ar 1:4","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
iron_crossbow,Железный арбалет,3,crossbow,true,1,3,1:3,512x1536,"Concept of ""Железный арбалет"", a single fantasy crossbow, wooden tiller with steel limbs, intricate trigger mechanism, no bolt loaded, made of polished iron, hardwood haft, carbonized leather, simple etchings, standard issue, town-blacksmith made, well-maintained, vertical orientation, weapon pointing up, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 512x1536, forge embers glow in background --ar 1:3","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
iron_staff,Железный посох,3,exotic,true,1,4,1:4,384x1536,"Concept of ""Железный посох"", a single fantasy wizard's staff, tall straight pole, ornamented head, no orb floating, made of polished iron, hardwood haft, carbonized leather, simple etchings, standard issue, town-blacksmith made, well-maintained, extreme vertical orientation, weapon pointing up, full length visible top-to-bottom, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 384x1536, forge embers glow in background --ar 1:4","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
iron_flail,Железный кистень,3,flail,false,1,2,1:2,768x1536,"Concept of ""Железный кистень"", a single fantasy flail, spiked metal ball on chain, wooden grip, dangerous looking, made of polished iron, hardwood haft, carbonized leather, simple etchings, standard issue, town-blacksmith made, well-maintained, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, forge embers glow in background --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
iron_knife,Железный нож,3,knife,false,1,2,1:2,768x1536,"Concept of ""Железный нож"", a single fantasy combat knife / dagger, leaf-shaped blade, full tang, leather-wrapped grip, made of polished iron, hardwood haft, carbonized leather, simple etchings, standard issue, town-blacksmith made, well-maintained, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, forge embers glow in background --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
iron_mace,Железная булава,3,mace,false,1,2,1:2,768x1536,"Concept of ""Железная булава"", a single fantasy mace, flanged head, short metal haft, leather grip, made of polished iron, hardwood haft, carbonized leather, simple etchings, standard issue, town-blacksmith made, well-maintained, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, forge embers glow in background --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
iron_warhammer,Железный молот,3,mace,true,1,3,1:3,512x1536,"Concept of ""Железный молот"", a single fantasy two-handed war hammer, large blunt head with spike on the back, long haft, made of polished iron, hardwood haft, carbonized leather, simple etchings, standard issue, town-blacksmith made, well-maintained, vertical orientation, weapon pointing up, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 512x1536, forge embers glow in background --ar 1:3","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
iron_spear,Железное копьё,3,spear,true,1,4,1:4,384x1536,"Concept of ""Железное копьё"", a single fantasy spear, long straight shaft, leaf-shaped spearhead, bound with leather strap, made of polished iron, hardwood haft, carbonized leather, simple etchings, standard issue, town-blacksmith made, well-maintained, extreme vertical orientation, weapon pointing up, full length visible top-to-bottom, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 384x1536, forge embers glow in background --ar 1:4","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
iron_greatsword,Железный двуруч,3,sword,true,1,4,1:4,384x1536,"Concept of ""Железный двуруч"", a single fantasy two-handed greatsword, long straight blade, large cross guard, ricasso, two-hand grip, made of polished iron, hardwood haft, carbonized leather, simple etchings, standard issue, town-blacksmith made, well-maintained, extreme vertical orientation, weapon pointing up, full length visible top-to-bottom, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 384x1536, forge embers glow in background --ar 1:4","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
iron_sword,Железный меч,3,sword,false,1,3,1:3,512x1536,"Concept of ""Железный меч"", a single fantasy arming sword, straight double-edged blade, cross guard, leather-wrapped grip, made of polished iron, hardwood haft, carbonized leather, simple etchings, standard issue, town-blacksmith made, well-maintained, vertical orientation, weapon pointing up, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 512x1536, forge embers glow in background --ar 1:3","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
iron_javelin,Железный дротик,3,throwing,false,1,3,1:3,512x1536,"Concept of ""Железный дротик"", a set of three fantasy throwing daggers / chakrams arranged in a fan, balanced, identical, made of polished iron, hardwood haft, carbonized leather, simple etchings, standard issue, town-blacksmith made, well-maintained, vertical orientation, weapon pointing up, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 512x1536, forge embers glow in background --ar 1:3","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
steel_axe,Стальной топор,4,axe,false,1,2,1:2,768x1536,"Concept of ""Стальной топор"", a single fantasy hand axe, single-bit head, wooden haft, iron banding, made of tempered steel, ironwood, bronze inlays, riveted leather, family-crest engraving, well-maintained, polished, decorative, soldier-grade, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, clean white studio light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
war_axe,Боевой топор (2р.),4,axe,true,1,3,1:3,512x1536,"Concept of ""Боевой топор (2р.)"", a single fantasy two-handed battle axe / great-axe, large bearded head, long oak haft, iron rivets, made of tempered steel, ironwood, bronze inlays, riveted leather, family-crest engraving, well-maintained, polished, decorative, soldier-grade, vertical orientation, weapon pointing up, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 512x1536, clean white studio light --ar 1:3","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
composite_bow,Составной лук,4,bow,true,1,4,1:4,384x1536,"Concept of ""Составной лук"", a single fantasy longbow, recurve limbs, drawstring, no arrow nocked, made of tempered steel, ironwood, bronze inlays, riveted leather, family-crest engraving, well-maintained, polished, decorative, soldier-grade, extreme vertical orientation, weapon pointing up, full length visible top-to-bottom, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 384x1536, clean white studio light --ar 1:4","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
hv_crossbow,Тяжёлый арбалет,4,crossbow,true,1,3,1:3,512x1536,"Concept of ""Тяжёлый арбалет"", a single fantasy crossbow, wooden tiller with steel limbs, intricate trigger mechanism, no bolt loaded, made of tempered steel, ironwood, bronze inlays, riveted leather, family-crest engraving, well-maintained, polished, decorative, soldier-grade, vertical orientation, weapon pointing up, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 512x1536, clean white studio light --ar 1:3","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
steel_staff,Стальной посох,4,exotic,true,1,4,1:4,384x1536,"Concept of ""Стальной посох"", a single fantasy wizard's staff, tall straight pole, ornamented head, no orb floating, made of tempered steel, ironwood, bronze inlays, riveted leather, family-crest engraving, well-maintained, polished, decorative, soldier-grade, extreme vertical orientation, weapon pointing up, full length visible top-to-bottom, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 384x1536, clean white studio light --ar 1:4","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
steel_flail,Стальной кистень,4,flail,false,1,2,1:2,768x1536,"Concept of ""Стальной кистень"", a single fantasy flail, spiked metal ball on chain, wooden grip, dangerous looking, made of tempered steel, ironwood, bronze inlays, riveted leather, family-crest engraving, well-maintained, polished, decorative, soldier-grade, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, clean white studio light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
steel_knife,Стальной нож,4,knife,false,1,2,1:2,768x1536,"Concept of ""Стальной нож"", a single fantasy combat knife / dagger, leaf-shaped blade, full tang, leather-wrapped grip, made of tempered steel, ironwood, bronze inlays, riveted leather, family-crest engraving, well-maintained, polished, decorative, soldier-grade, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, clean white studio light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
steel_mace,Стальная булава,4,mace,false,1,2,1:2,768x1536,"Concept of ""Стальная булава"", a single fantasy mace, flanged head, short metal haft, leather grip, made of tempered steel, ironwood, bronze inlays, riveted leather, family-crest engraving, well-maintained, polished, decorative, soldier-grade, vertical orientation, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 768x1536, clean white studio light --ar 1:2","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
war_hammer,Боевой молот,4,mace,true,1,3,1:3,512x1536,"Concept of ""Боевой молот"", a single fantasy two-handed war hammer, large blunt head with spike on the back, long haft, made of tempered steel, ironwood, bronze inlays, riveted leather, family-crest engraving, well-maintained, polished, decorative, soldier-grade, vertical orientation, weapon pointing up, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 512x1536, clean white studio light --ar 1:3","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
halberd,Алебарда,4,spear,true,1,4,1:4,384x1536,"Concept of ""Алебарда"", a single fantasy spear, long straight shaft, leaf-shaped spearhead, bound with leather strap, made of tempered steel, ironwood, bronze inlays, riveted leather, family-crest engraving, well-maintained, polished, decorative, soldier-grade, extreme vertical orientation, weapon pointing up, full length visible top-to-bottom, isolated single object, transparent or plain dark background, centered, full item visible, side view, no human, no hands, sharp focus, high detail, painterly style, fantasy item icon, soft rim light, slight specular highlights, 384x1536, clean white studio light --ar 1:4","text, watermark, logo, signature, blurry, low quality, multiple objects, hands, person, character, perspective distortion, cluttered background, horizontal layout, sideways, nsfw"
