category,id,name,tier,school,damageType,aoeType,aoeShape,gridW,gridH,aspect,resolution,prompt,negative
spells,ice_shards,Ледяные Осколки,3,ice,ice,shards,circle,1,1,1:1,1024x1024,"Concept ""Ледяные Осколки"", spell icon for ice magic, cyan frost crystals, cold mist, sharp translucent shards, cluster of several magical shards flying outward, each shard distinct, condition cue: slowed, visually embedded as small runic accent, rank 3, field-proven adventurer gear, reinforced details, readable silhouette, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,rock_shards,Каменные Осколки,3,earth,physical,shards,circle,1,1,1:1,1024x1024,"Concept ""Каменные Осколки"", spell icon for earth magic, stone, ochre dust, cracked ground glyph, heavy mineral fragments, cluster of several magical shards flying outward, each shard distinct, pure spell energy, readable magical purpose, rank 3, field-proven adventurer gear, reinforced details, readable silhouette, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,summon_skeleton,Призвать Скелета,3,summon,none,,,1,1,1:1,1024x1024,"Concept ""Призвать Скелета"", spell icon for summon magic, teal necromantic summoning circle, bone-white motes, binding runes, single-target magical projectile or focused spell sigil, summoning portal, skeletal hint only as tiny glyph silhouette, no full character, rank 3, field-proven adventurer gear, reinforced details, readable silhouette, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,thunder_clap,Гром,3,lightning,lightning,sweep,cone,1,1,1:1,1024x1024,"Concept ""Гром"", spell icon for lightning magic, blue-white lightning forks, copper-gold charge, electric halo, fan-shaped cone burst, wide front edge, clear directional sweep, condition cue: pushed, visually embedded as small runic accent, rank 3, field-proven adventurer gear, reinforced details, readable silhouette, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,banish,Изгнание,4,summon,none,,,1,1,1:1,1024x1024,"Concept ""Изгнание"", spell icon for summon magic, teal necromantic summoning circle, bone-white motes, binding runes, single-target magical projectile or focused spell sigil, banishment seal, dissolving hostile spirit outline abstracted, rank 4, professional mercenary quality, polished steel fittings, careful packing, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,drain_life,Высасывание Жизни,4,shadow,shadow,,,1,1,1:1,1024x1024,"Concept ""Высасывание Жизни"", spell icon for shadow magic, deep violet-black void energy, smoke wisps, cracked darkness, single-target magical projectile or focused spell sigil, crimson shadow siphon, life thread pulled into dark core, rank 4, professional mercenary quality, polished steel fittings, careful packing, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,fear,Страх,4,mind,none,,,1,1,1:1,1024x1024,"Concept ""Страх"", spell icon for mind magic, violet psychic rings, thought-wave distortion, subtle eye-like geometry, single-target magical projectile or focused spell sigil, constricting aura, downward pressure, hostile control magic, rank 4, professional mercenary quality, polished steel fittings, careful packing, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,fireball,Огненный Шар,4,fire,fire,blast,circle,1,1,1:1,1024x1024,"Concept ""Огненный Шар"", spell icon for fire magic, orange-red flame, ember sparks, blackened rim, molten core, circular area blast glyph, ring boundary and impact center, condition cue: burning, visually embedded as small runic accent, rank 4, professional mercenary quality, polished steel fittings, careful packing, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,frost_nova,Морозная Вспышка,4,ice,ice,nova,circle,1,1,1:1,1024x1024,"Concept ""Морозная Вспышка"", spell icon for ice magic, cyan frost crystals, cold mist, sharp translucent shards, radial nova ring expanding outward from a bright center, condition cue: stunned, visually embedded as small runic accent, rank 4, professional mercenary quality, polished steel fittings, careful packing, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,chain_lightning,Цепная Молния,5,lightning,lightning,chain,circle,1,1,1:1,1024x1024,"Concept ""Цепная Молния"", spell icon for lightning magic, blue-white lightning forks, copper-gold charge, electric halo, branching chain arcs between small target sparks, readable bouncing path, condition cue: stunned, visually embedded as small runic accent, rank 5, masterwork guild finish, subtle runes, clean alchemical glass and fine leather, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,fire_wall,Стена Огня,5,fire,fire,blast,ray,1,1,1:1,1024x1024,"Concept ""Стена Огня"", spell icon for fire magic, orange-red flame, ember sparks, blackened rim, molten core, long narrow ray or lance of magic crossing the icon diagonally, condition cue: burning, visually embedded as small runic accent, rank 5, masterwork guild finish, subtle runes, clean alchemical glass and fine leather, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,mass_slow,Массовое Замедление,5,mind,none,blast,circle,1,1,1:1,1024x1024,"Concept ""Массовое Замедление"", spell icon for mind magic, violet psychic rings, thought-wave distortion, subtle eye-like geometry, circular area blast glyph, ring boundary and impact center, constricting aura, downward pressure, hostile control magic, rank 5, masterwork guild finish, subtle runes, clean alchemical glass and fine leather, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,void_burst,Взрыв Пустоты,5,shadow,shadow,blast,circle,1,1,1:1,1024x1024,"Concept ""Взрыв Пустоты"", spell icon for shadow magic, deep violet-black void energy, smoke wisps, cracked darkness, circular area blast glyph, ring boundary and impact center, condition cue: exposed, visually embedded as small runic accent, rank 5, masterwork guild finish, subtle runes, clean alchemical glass and fine leather, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,blizzard,Вьюга,6,ice,ice,blast,circle,1,1,1:1,1024x1024,"Concept ""Вьюга"", spell icon for ice magic, cyan frost crystals, cold mist, sharp translucent shards, circular area blast glyph, ring boundary and impact center, condition cue: slowed, visually embedded as small runic accent, rank 6, elite expedition quality, mithril or silver accents, faint magical residue, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,divine_wrath,Божественный Гнев,6,light,holy,blast,ray,1,1,1:1,1024x1024,"Concept ""Божественный Гнев"", spell icon for light magic, white-gold sacred radiance, clean rays, pearl glow, long narrow ray or lance of magic crossing the icon diagonally, condition cue: stunned, visually embedded as small runic accent, rank 6, elite expedition quality, mithril or silver accents, faint magical residue, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,earthquake,Землетрясение,7,earth,physical,blast,circle,1,1,1:1,1024x1024,"Concept ""Землетрясение"", spell icon for earth magic, stone, ochre dust, cracked ground glyph, heavy mineral fragments, circular area blast glyph, ring boundary and impact center, condition cue: prone, visually embedded as small runic accent, rank 7, rare occult workshop craft, dark crystal traces, controlled eerie glow, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,meteor,Метеор,8,fire,fire,blast,circle,1,1,1:1,1024x1024,"Concept ""Метеор"", spell icon for fire magic, orange-red flame, ember sparks, blackened rim, molten core, circular area blast glyph, ring boundary and impact center, condition cue: burning, visually embedded as small runic accent, rank 8, artifact-grade craft, starmetal glints, celestial or void-touched materials, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,astral_binding_circle,Круг Астральных Оков,9,summon,magical,blast,circle,1,1,1:1,1024x1024,"Concept ""Круг Астральных Оков"", spell icon for summon magic, teal necromantic summoning circle, bone-white motes, binding runes, circular area blast glyph, ring boundary and impact center, condition cue: grappled, visually embedded as small runic accent, rank 9, legendary relic quality, ornate sacred geometry, strong but contained aura, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
spells,heavenfall,Небесное Падение,10,light,holy,blast,circle,1,1,1:1,1024x1024,"Concept ""Небесное Падение"", spell icon for light magic, white-gold sacred radiance, clean rays, pearl glow, circular area blast glyph, ring boundary and impact center, condition cue: stunned, visually embedded as small runic accent, rank 10, mythic relic presence, impossible materials, reality ripple kept subtle, 1024x1024, single isolated fantasy RPG spell icon, centered magical effect or glyph, no caster, no hands, no book page, plain dark or transparent background, sharp painterly detail, readable at small square action-bar and inventory icon size --ar 1:1","text, watermark, logo, signature, blurry, low quality, character portrait, caster silhouette, hands, book page, UI border, flat emoji, simple vector symbol, nsfw"
