id,name,tier,satiety,hydration,value,harvestPools,prompt,promptHarvest,negative
oat_kiss_kissel,Овсяный поцелуй,1,16,14,2,,"Concept ""Овсяный поцелуй"", fantasy edible dish photograph —  balanced solids and hydration cues, wooden trencher, coarse linen napkin, tavern staples, hearth smoke, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing warm amber candlelight. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
pickled_veggies_jar,Банка маринованных овощей,1,18,10,3,,"Concept ""Банка маринованных овощей"", fantasy edible dish photograph —  balanced solids and hydration cues, wooden trencher, coarse linen napkin, tavern staples, hearth smoke, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing warm amber candlelight. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
trail_rations,Походный паёк,1,20,5,5,,"Concept ""Походный паёк"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, wooden trencher, coarse linen napkin, tavern staples, hearth smoke, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing warm amber candlelight. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
well_water_skin,Родниковая вода (меха),1,5,38,2,,"Concept ""Родниковая вода (меха)"", fantasy edible dish photograph —  emphasis on steam mug / jug / soup moisture shimmer, wooden trencher, coarse linen napkin, tavern staples, hearth smoke, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing warm amber candlelight. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
berry_kvass_jug,Кувшин ягодного кваса,2,22,28,14,,"Concept ""Кувшин ягодного кваса"", fantasy edible dish photograph —  emphasis on steam mug / jug / soup moisture shimmer, simple glazed ceramic plate, respectable inn fare, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing cozy lantern glow. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
fine_meal,Изысканное блюдо,2,40,15,15,,"Concept ""Изысканное блюдо"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, simple glazed ceramic plate, respectable inn fare, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing cozy lantern glow. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
game_meat_rich,Плотная дичь,2,28,4,6,alpine_harvest_t3;brute_carve_t2;pack_leader_t3;wetland_glean_t2,"Concept ""Плотная дичь"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, simple glazed ceramic plate, respectable inn fare, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing cozy lantern glow. --ar 1:1","Concept ""Плотная дичь"", fantasy RPG monster harvest food icon — thick haunch marbling sinew ribbons coarse salt flake, butcher stone or stained board oiled rag NOT banquet china twine wrap, muted guild-town merchant lunch undertone tier 3 quarry, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, gritty rim hunter camp light neutral daylight window --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
meadow_honeycomb,Луговые медовые соты,2,26,12,18,,"Concept ""Луговые медовые соты"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, simple glazed ceramic plate, respectable inn fare, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing cozy lantern glow. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
salted_fish_board,Дощечка солёной рыбы,2,32,6,12,,"Concept ""Дощечка солёной рыбы"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, simple glazed ceramic plate, respectable inn fare, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing cozy lantern glow. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
serpent_fillet_raw,Сырое филе змея,2,22,6,8,wetland_glean_t2,"Concept ""Сырое филе змея"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, simple glazed ceramic plate, respectable inn fare, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing cozy lantern glow. --ar 1:1","Concept ""Сырое филе змея"", fantasy RPG monster harvest food icon — serpent fillet translucent jelly ichor sheen scale-side muscle striation, butcher stone or stained board oiled rag NOT banquet china twine wrap, muted respectable inn fare undertone tier 2 quarry, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, gritty rim hunter camp light cozy lantern glow --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
travelers_hardtack,Сухари странника,2,28,4,10,,"Concept ""Сухари странника"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, simple glazed ceramic plate, respectable inn fare, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing cozy lantern glow. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
cherry_brandy_snifter,Бренди из вишни,3,28,18,44,,"Concept ""Бренди из вишни"", fantasy edible dish photograph —  balanced solids and hydration cues, white pottery dish with herb garnish, guild-town merchant lunch, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing neutral daylight window. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
highland_grub_haunch,Окорок горного трутня,3,36,5,14,alpine_harvest_t3,"Concept ""Окорок горного трутня"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, white pottery dish with herb garnish, guild-town merchant lunch, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing neutral daylight window. --ar 1:1","Concept ""Окорок горного трутня"", fantasy RPG monster harvest food icon — chitinous grub haunch segmented meat pale marrow seam fantasy insect quarry cut, butcher stone or stained board oiled rag NOT banquet china twine wrap, muted guild-town merchant lunch undertone tier 3 quarry, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, gritty rim hunter camp light neutral daylight window --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
miners_breakfast,Завтрак шахтёра,3,46,12,38,,"Concept ""Завтрак шахтёра"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, white pottery dish with herb garnish, guild-town merchant lunch, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing neutral daylight window. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
mint_leaf_tea_pot,Чайник мятного чая,3,32,36,42,,"Concept ""Чайник мятного чая"", fantasy edible dish photograph —  balanced solids and hydration cues, white pottery dish with herb garnish, guild-town merchant lunch, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing neutral daylight window. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
orchard_cider_jug,Кувшин яблочного сидра,3,18,28,35,,"Concept ""Кувшин яблочного сидра"", fantasy edible dish photograph —  emphasis on steam mug / jug / soup moisture shimmer, white pottery dish with herb garnish, guild-town merchant lunch, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing neutral daylight window. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
caravan_roast,Ужин караванщика,4,58,14,110,brute_prize_t5,"Concept ""Ужин караванщика"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, bronze charger plate with carved rim, caravan feast seasoned by road spice, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing clean side light. --ar 1:1","Concept ""Ужин караванщика"", fantasy RPG monster harvest food icon — thick haunch marbling sinew ribbons coarse salt flake, butcher stone or stained board oiled rag NOT banquet china twine wrap, muted manor hall banquet snippet undertone tier 5 quarry, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, gritty rim hunter camp light soft rim highlights --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
smoked_trout_board,Копчёная форель,4,52,18,105,,"Concept ""Копчёная форель"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, bronze charger plate with carved rim, caravan feast seasoned by road spice, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing clean side light. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
spiced_route_wine,Приправленное дорожное вино,4,38,30,118,,"Concept ""Приправленное дорожное вино"", fantasy edible dish photograph —  balanced solids and hydration cues, bronze charger plate with carved rim, caravan feast seasoned by road spice, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing clean side light. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
wyvern_stringy_cut,Нарезка с виверны,4,44,6,35,apex_slice_t4;beast_lord_t7;beast_lord_t8;beast_lord_t9;brute_prize_t5;kaiju_shard_t6;primordial_harvest_t10,"Concept ""Нарезка с виверны"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, bronze charger plate with carved rim, caravan feast seasoned by road spice, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing clean side light. --ar 1:1","Concept ""Нарезка с виверны"", fantasy RPG monster harvest food icon — thick haunch marbling sinew ribbons coarse salt flake, butcher stone or stained board oiled rag NOT banquet china twine wrap, muted mythical feast worthy of gods undertone tier 10 quarry, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, gritty rim hunter camp light spark halo lens flare subtle aura distortion --ar 1:1","text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
amber_mead_horn,Янтарный мёд в роге,5,52,30,275,,"Concept ""Янтарный мёд в роге"", fantasy edible dish photograph —  balanced solids and hydration cues, silver-plated platter, manor hall banquet snippet, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing soft rim highlights. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
lordly_vegetable_pie,Пирог с овощами и ягодами,5,72,22,260,,"Concept ""Пирог с овощами и ягодами"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, silver-plated platter, manor hall banquet snippet, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing soft rim highlights. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
firebrand_brandy_snifter,Бренди «Огненная метка»,6,46,38,645,,"Concept ""Бренди «Огненная метка»"", fantasy edible dish photograph —  balanced solids and hydration cues, cast iron skillet presentation still steaming, noble hunter lodge luxury, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing fire-kissed glow. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
volcanic_skillet,Жаровня «Вулкан»,6,82,26,620,,"Concept ""Жаровня «Вулкан»"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, cast iron skillet presentation still steaming, noble hunter lodge luxury, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing fire-kissed glow. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
glacier_melt_skin,Талая ледниковая вода,7,38,55,1480,,"Concept ""Талая ледниковая вода"", fantasy edible dish photograph —  emphasis on steam mug / jug / soup moisture shimmer, dark slate plate bioluminescent garnish accents, exotic imported rarity, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing cool moonlit shimmer. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
moonfruit_tart,Тарт из лунного фрукта,7,94,30,1400,,"Concept ""Тарт из лунного фрукта"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, dark slate plate bioluminescent garnish accents, exotic imported rarity, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing cool moonlit shimmer. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
aurora_glazed_roast,Жаркое с глазурью Авроры,8,108,38,4400,,"Concept ""Жаркое с глазурью Авроры"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, pearlescent porcelain, master-chef artistry visible saucing, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing studio highlight gradient. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
aurora_sparkling_juice,Игристый сок Авроры,8,54,50,4580,,"Concept ""Игристый сок Авроры"", fantasy edible dish photograph —  balanced solids and hydration cues, pearlescent porcelain, master-chef artistry visible saucing, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing studio highlight gradient. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
solar_buffet_course,Блюдо солнечного буфета,9,132,42,28000,,"Concept ""Блюдо солнечного буфета"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, gold-leaf trimmed platter, legendary banquet centerpiece miniature, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing golden divine backlight. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
solar_champagne_flute,Солнечное шампанское,9,72,62,29200,,"Concept ""Солнечное шампанское"", fantasy edible dish photograph —  balanced solids and hydration cues, gold-leaf trimmed platter, legendary banquet centerpiece miniature, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing golden divine backlight. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
celestial_dew_flask,Фляга небесной росы,10,88,78,90500,,"Concept ""Фляга небесной росы"", fantasy edible dish photograph —  balanced solids and hydration cues, floating crystalline dish barely touching surface, mythical feast worthy of gods, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing spark halo lens flare subtle aura distortion. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
genesis_supper,Ужин генезиса,10,190,55,92000,,"Concept ""Ужин генезиса"", fantasy edible dish photograph —  emphasis on hearty solids roast carved portions, floating crystalline dish barely touching surface, mythical feast worthy of gods, single isolated fantasy RPG food shot, centered, transparent or plain dark background, square composition for inventory icon, no hands holding food in frame, sharp focus, painterly style, 1024x1024 inventory sprite framing spark halo lens flare subtle aura distortion. --ar 1:1",,"text, watermark, logo, signature, blurry, low quality, cluttered banquet hall wide shot, multiple unrelated plates, eating utensils alone without food, human face, nsfw"
